category,source,sourceType,sourceId,Brand,Model
Streaming Media Players,Fry's Electronics,retailer,1,Google,GGL- GA3A00403A14
Streaming Media Players,Fry's Electronics,retailer,1,Amazon,B00ZV9RDKK
Streaming Media Players,Fry's Electronics,retailer,1,Roku,4660R
Streaming Media Players,Fry's Electronics,retailer,1,Elgato,10025040
Streaming Media Players,Fry's Electronics,retailer,1,Roku,3900R
Streaming Media Players,Fry's Electronics,retailer,1,NVIDIA,945125712500010
Streaming Media Players,Fry's Electronics,retailer,1,Google,GA3A00147-A14-Z01
Streaming Media Players,Fry's Electronics,retailer,1,TiVo,TCD849000v2
Streaming Media Players,Fry's Electronics,retailer,1,Silicon Dust,HDTC-2US-M
Streaming Media Players,Fry's Electronics,retailer,1,TIVO,TCD849500v2-B
Streaming Media Players,Fry's Electronics,retailer,1,TIVO,TCD849500v2
Streaming Media Players,Fry's Electronics,retailer,1,Roku,4630XB
Streaming Media Players,Fry's Electronics,retailer,1,Roku,4620XB
Streaming Media Players,Fry's Electronics,retailer,1,Apple,MLFQ2AM/A
Streaming Media Players,Fry's Electronics,retailer,1,Roku,3600XB
Streaming Media Players,Fry's Electronics,retailer,1,Amazon,4300934
Streaming Media Players,Fry's Electronics,retailer,1,Roku,3710RW
Streaming Media Players,Fry's Electronics,retailer,1,Roku,4640XB
Streaming Media Players,Fry's Electronics,retailer,1,Silicon Dust,HDHR3-CC
Streaming Media Players,Fry's Electronics,retailer,1,Silicon Dust,HDHR4-2US
Streaming Media Players,Fry's Electronics,retailer,1,Sony,FMPX10
Streaming Media Players,Fry's Electronics,retailer,1,NA,CR01
Streaming Media Players,Fry's Electronics,retailer,1,IO Gear,GWAVRB
Streaming Media Players,Fry's Electronics,retailer,1,TIVO,TCD849000
Streaming Media Players,Fry's Electronics,retailer,1,NVIDIA,945128972500001
