Brand,Model,category,source,sourceType,sourceId
Onkyo,TX-SR353   ,Audio/Video Receiver,Fry's Electronics,retailer,1
Denon,AVRX2300W  ,Audio/Video Receiver,Fry's Electronics,retailer,1
Onkyo,TXNR575    ,Audio/Video Receiver,Fry's Electronics,retailer,1
Yamaha,R-S500BL   ,Audio/Video Receiver,Fry's Electronics,retailer,1
Yamaha,RX-S601BL  ,Audio/Video Receiver,Fry's Electronics,retailer,1
Yamaha,R-S300BL   ,Audio/Video Receiver,Fry's Electronics,retailer,1
Onkyo,TX-NR646   ,Audio/Video Receiver,Fry's Electronics,retailer,1
Pioneer,SX-N30     ,Audio/Video Receiver,Fry's Electronics,retailer,1
Denon,AVRX3300W  ,Audio/Video Receiver,Fry's Electronics,retailer,1
Onkyo,TXNR636    ,Audio/Video Receiver,Fry's Electronics,retailer,1
Pioneer,VSX-1131   ,Audio/Video Receiver,Fry's Electronics,retailer,1
Denon,AVR-X3100W ,Audio/Video Receiver,Fry's Electronics,retailer,1
Denon,AVRX1300W  ,Audio/Video Receiver,Fry's Electronics,retailer,1
Onkyo,TXNR535    ,Audio/Video Receiver,Fry's Electronics,retailer,1
Yamaha,TSR-5790BL ,Audio/Video Receiver,Fry's Electronics,retailer,1
Pioneer,VSX-LX101  ,Audio/Video Receiver,Fry's Electronics,retailer,1
Yamaha,RX-A550BL  ,Audio/Video Receiver,Fry's Electronics,retailer,1
Onkyo,TX-8160    ,Audio/Video Receiver,Fry's Electronics,retailer,1
Sony,STRDN1070  ,Audio/Video Receiver,Fry's Electronics,retailer,1
Pioneer,VSX-90     ,Audio/Video Receiver,Fry's Electronics,retailer,1
Denon,AVRS720W   ,Audio/Video Receiver,Fry's Electronics,retailer,1
Yamaha,RX-A760BL  ,Audio/Video Receiver,Fry's Electronics,retailer,1
Yamaha,RX-V779BL  ,Audio/Video Receiver,Fry's Electronics,retailer,1
Yamaha,RX-V381BL  ,Audio/Video Receiver,Fry's Electronics,retailer,1
Pioneer,VSX-831    ,Audio/Video Receiver,Fry's Electronics,retailer,1
Pioneer,Elite SC-95,Audio/Video Receiver,Fry's Electronics,retailer,1
Denon,AVR-X5200W ,Audio/Video Receiver,Fry's Electronics,retailer,1
Onkyo,HT-R593 REFURBISHED ,Audio/Video Receiver,Fry's Electronics,retailer,1
Pioneer,VSX-531    ,Audio/Video Receiver,Fry's Electronics,retailer,1
Yamaha,RX-A660BL  ,Audio/Video Receiver,Fry's Electronics,retailer,1
Yamaha,RX-V581BL  ,Audio/Video Receiver,Fry's Electronics,retailer,1
Onkyo,TX-NR1030  ,Audio/Video Receiver,Fry's Electronics,retailer,1
Pioneer,VSX532     ,Audio/Video Receiver,Fry's Electronics,retailer,1
Denon,AVRS530BT  ,Audio/Video Receiver,Fry's Electronics,retailer,1
Denon,AVRS930H   ,Audio/Video Receiver,Fry's Electronics,retailer,1
Yamaha,TSR-5810BL ,Audio/Video Receiver,Fry's Electronics,retailer,1
Denon,AVRX1400H  ,Audio/Video Receiver,Fry's Electronics,retailer,1
Pioneer,VSX932     ,Audio/Video Receiver,Fry's Electronics,retailer,1
Denon,AVRS730H   ,Audio/Video Receiver,Fry's Electronics,retailer,1
Onkyo,TX-RZ820   ,Audio/Video Receiver,Fry's Electronics,retailer,1
Pioneer,VSXLX102   ,Audio/Video Receiver,Fry's Electronics,retailer,1
Yamaha,TSR-7810BL ,Audio/Video Receiver,Fry's Electronics,retailer,1
Sony,STRDH770   ,Audio/Video Receiver,Fry's Electronics,retailer,1
Pioneer,VSX-LX301  ,Audio/Video Receiver,Fry's Electronics,retailer,1
Yamaha,RX-V583BL  ,Audio/Video Receiver,Fry's Electronics,retailer,1
